Name		Damage	Heals Rank  Deaths
Ado		5304	7158	1	5.12
Adora		4474	7625	2	4.94
Agilities 	5953	9589	1	5.49
Apply		4800	7970	1	5.39
Architect	5244	8474	4	4.45	
ArHan	 	5926	6395	1	6.18
Asher		8421	3401	2	3.66
Bazzi		5251	7846	2	5.93	
BIRDRING	7126	5516	3	4.28
blase		5079	7731	3	5.71
danye		7567	4673	2	5.44
Eileen		6619	3191	1	4.31
eqo		5863	8549	3	5.24
Erster		5988	6954	2	4.97
Fl0w3R		4275	6421	4	5.21
Guard		5713	7195	3	4.47
Haksal		5838	9547	4	3.64
Hydration	5392	8765	4	5.21
im37		6430	3300	2	6.21
Jake		4874	6457	1	5.80
Krystal		7170	9291	2	2.90
Kyb		4903	7415	1	4.24
Libero		4627	7856	4	3.61
LiNkzr		7273	4729	1	5.31
Munchkin	5558	7801	4	4.86
NiCOgdh		5172	9404	2	6.17
NLaaeR		5418	4874	2	6.48
Rascal		5039	10499	4	3.89
Saebyeolbe	3931	8533	4	5.91
sayaplayer	6009	5053	1	6.32
snillo		4268	6369	3	7.29
TviQ		6060	6530	1	4.75
YOUNGJIN	5669	6887	2	5.77
ZachaREEE	5164	8647	3	5.06
