A,B,M1A,M1B,M2A,M2B,M3A,M3B,M4A,M4B,M5A,M5B,FSA,FSB
PHI,LDN,2,1,3,2,4,5,1,0,0,0,3,1
NYE,BOS,2,0,3,4,4,4,3,2,0,0,2,1
SEO,GLA,0,2,3,1,1,0,5,4,0,0,3,1
SHD,HZS,1,2,1,2,3,2,1,2,0,0,1,3
TOR,HOU,1,2,4,5,1,0,2,1,2,1,3,2
ATL,FLA,2,0,2,1,5,4,2,1,0,0,4,0
DAL,SFS,0,2,1,3,2,3,1,3,0,0,0,4
CDH,GZC,0,2,3,2,2,3,2,1,2,1,3,2
LDN,PAR,0,2,2,1,2,3,0,3,0,0,1,3
WAS,NYE,0,2,0,1,1,0,1,2,0,0,1,3
VAL,HZS,1,2,3,1,4,3,2,3,1,2,2,3
VAN,SHD,2,1,1,0,3,2,2,1,0,0,4,0
HOU,BOS,2,0,2,3,3,4,4,3,1,2,2,3
PHI,ATL,1,2,2,1,4,5,2,1,2,1,3,2
SFS,GLA,2,1,1,3,2,3,4,3,1,2,2,3
SEO,DAL,1,2,3,4,4,3,0,1,0,0,1,3
WAS,LDN,2,1,3,2,2,4,2,3,0,2,2,3
PHI,FLA,0,2,4,3,4,4,0,1,0,0,1,2
GZC,DAL,2,0,2,1,2,0,3,2,0,0,4,0
SEO,CDH,2,1,2,1,4,3,3,2,0,0,4,0
ATL,TOR,1,2,2,1,6,4,3,0,0,0,3,1
NYE,VAL,0,2,2,1,0,2,2,1,2,0,3,2
SHD,BOS,2,0,4,3,5,4,0,1,0,0,3,1
HOU,HZS,2,0,5,4,4,3,0,1,0,0,3,1
GLA,PAR,2,1,2,3,3,3,2,3,0,0,1,2
PHI,DAL,0,2,1,3,4,3,2,3,0,0,1,3
VAN,GZC,0,2,1,0,3,2,3,4,2,1,3,2
CDH,FLA,2,1,2,3,2,0,2,3,2,0,3,2
HZS,LDN,0,2,1,2,0,2,3,2,0,0,1,3
NYE,HOU,2,0,3,0,2,0,2,1,0,0,4,0
TOR,VAL,2,1,3,3,4,3,2,3,0,0,2,1
VAN,SFS,2,0,5,4,2,1,4,5,0,0,3,1
WAS,PHI,2,1,1,2,3,4,1,3,0,0,1,3
SEO,BOS,1,2,4,5,4,3,2,3,0,0,1,3
FLA,GZC,0,2,2,1,0,1,2,1,0,2,2,3
SFS,HZS,1,2,1,0,4,2,3,0,0,0,3,1
GLA,LDN,1,2,3,3,3,2,1,2,0,0,1,2
TOR,NYE,1,2,2,3,1,3,3,0,0,0,1,3
VAN,VAL,2,0,3,2,1,0,2,0,0,0,3,1
SHD,CDH,2,1,3,2,5,4,2,1,0,0,4,0
PAR,ATL,0,2,1,3,0,2,2,3,0,0,0,4
FLA,HOU,1,2,3,5,3,4,2,1,0,0,1,3
SFS,WAS,2,1,3,2,2,0,3,1,0,0,4,0
SHD,DAL,0,2,3,2,5,4,4,5,0,2,2,3
BOS,TOR,0,2,2,3,4,2,1,2,0,0,1,3
HZS,GLA,2,1,2,3,3,2,1,0,0,0,3,1
VAL,GZC,0,2,4,5,1,2,3,2,0,0,1,3
NYE,SEO,2,0,0,1,1,0,3,0,0,0,3,1
ATL,GLA,0,2,3,4,1,2,0,3,0,0,0,4
VAL,PHI,0,2,2,3,2,1,3,0,1,2,2,3
TOR,CDH,2,1,1,0,2,3,3,2,0,0,3,1
PAR,VAN,1,2,2,3,1,2,2,3,0,0,0,4
NYE,SFS,2,1,5,4,6,5,2,1,0,0,4,0
DAL,SHD,2,1,3,2,3,2,5,4,0,0,4,0
VAL,HOU,1,2,3,2,3,3,0,2,0,0,1,2
SEO,WAS,2,0,3,2,3,2,3,4,0,0,3,1
GZC,GLA,2,0,3,4,0,2,1,2,0,0,1,3
HZS,TOR,1,2,1,3,2,2,3,4,0,0,0,3
